datetime,underlying,symbol,strike,type,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-08-21 11:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77627.66,453.65,453.65,453.65,453.65,0,7.71,-0.3587,0.000203,-9.89,88.39
2026-08-21 11:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77624.94,453.65,453.65,453.65,453.65,0,7.7,-0.3591,0.000204,-9.88,88.41
2026-08-21 11:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77623.96,453.65,453.65,453.65,453.65,0,7.7,-0.3592,0.000204,-9.87,88.42
2026-08-21 11:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77633.63,453.65,453.65,453.65,453.65,0,7.74,-0.3579,0.000202,-9.91,88.31
2026-08-21 11:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77629.27,453.65,453.65,453.65,453.65,0,7.72,-0.3585,0.000203,-9.9,88.35
2026-08-21 11:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77610.96,453.65,453.65,453.65,453.65,0,7.64,-0.361,0.000205,-9.82,88.54
2026-08-21 11:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77622.1,453.65,453.65,453.65,453.65,0,7.69,-0.3595,0.000204,-9.87,88.42
2026-08-21 11:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77608.2,453.65,453.65,453.65,453.65,0,7.63,-0.3614,0.000206,-9.81,88.56
2026-08-21 11:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77584.71,453.65,453.65,453.65,453.65,0,7.54,-0.3648,0.000209,-9.72,88.81
2026-08-21 12:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77583.91,453.65,453.65,453.65,453.65,0,7.54,-0.3649,0.000209,-9.72,88.81
2026-08-21 12:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77573.17,453.65,472.25,453.65,472.25,20,7.7,-0.3696,0.000206,-9.97,89.17
2026-08-21 12:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77557.8,472.25,472.45,472.25,472.45,20,7.64,-0.3719,0.000208,-9.91,89.32
2026-08-21 12:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77566.05,472.45,472.45,472.45,472.45,0,7.67,-0.3707,0.000207,-9.94,89.23
2026-08-21 12:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77581.98,472.45,472.45,472.45,472.45,0,7.74,-0.3684,0.000204,-10.01,89.07
2026-08-21 12:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77575.45,472.45,472.45,472.45,472.45,0,7.71,-0.3693,0.000205,-9.98,89.13
2026-08-21 12:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77581.35,472.45,472.45,472.45,472.45,0,7.74,-0.3685,0.000205,-10.01,89.07
2026-08-21 12:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77561.11,472.45,472.45,472.45,472.45,0,7.66,-0.3714,0.000207,-9.93,89.26
2026-08-21 12:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77539.45,472.45,478.15,472.0,478.15,80,7.63,-0.3755,0.000209,-9.92,89.55
2026-08-21 12:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77539.68,478.15,484.7,473.9,476.1,80,7.61,-0.3752,0.000209,-9.89,89.51
2026-08-21 12:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77545.85,476.1,481.7,476.1,481.7,20,7.7,-0.3752,0.000207,-10.01,89.51
2026-08-21 12:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77541.52,481.7,481.7,481.7,481.7,0,7.68,-0.3758,0.000208,-9.99,89.55
2026-08-21 13:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77568.02,481.7,481.7,481.7,481.7,0,7.79,-0.3719,0.000204,-10.11,89.29
2026-08-21 13:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77598.76,481.7,481.7,481.7,481.7,0,7.92,-0.3675,0.0002,-10.24,88.98
2026-08-21 13:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77579.58,481.7,481.7,467.45,467.45,20,7.68,-0.3679,0.000206,-9.93,88.98
2026-08-21 13:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77584.0,467.45,467.45,467.45,467.45,0,7.7,-0.3673,0.000206,-9.95,88.93
2026-08-21 13:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77556.03,467.45,467.45,467.45,467.45,0,7.58,-0.3713,0.000209,-9.83,89.21
2026-08-21 13:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77574.8,467.45,467.45,467.45,467.45,0,7.66,-0.3686,0.000207,-9.91,89.02
2026-08-21 13:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77558.35,467.45,467.45,467.45,467.45,0,7.59,-0.371,0.000209,-9.85,89.18
2026-08-21 13:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77538.91,467.45,481.55,467.45,481.55,20,7.67,-0.3762,0.000208,-9.99,89.54
2026-08-21 13:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77546.0,481.55,481.55,472.8,472.8,20,7.6,-0.3737,0.000209,-9.88,89.36
2026-08-21 13:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77530.9,472.8,476.6,472.8,476.6,20,7.58,-0.3766,0.00021,-9.88,89.55
2026-08-21 13:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77542.72,476.6,477.1,476.6,477.1,80,7.64,-0.3749,0.000209,-9.94,89.44
2026-08-21 13:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77548.44,477.1,477.1,477.1,477.1,0,7.66,-0.374,0.000208,-9.96,89.38
2026-08-21 14:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77530.47,477.1,477.1,477.1,477.1,0,7.59,-0.3767,0.00021,-9.88,89.55
2026-08-21 14:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77506.99,477.1,477.1,477.1,477.1,0,7.48,-0.3803,0.000214,-9.77,89.77
2026-08-21 14:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77529.84,477.1,477.1,477.1,477.1,0,7.59,-0.3768,0.000211,-9.88,89.55
2026-08-21 14:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77544.65,477.1,477.1,470.0,470.0,160,7.57,-0.3735,0.00021,-9.84,89.31
2026-08-21 14:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77559.97,470.0,470.0,470.0,470.0,0,7.63,-0.3712,0.000208,-9.9,89.15
2026-08-21 14:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77560.29,470.0,470.0,467.6,467.6,20,7.61,-0.3707,0.000209,-9.87,89.11
2026-08-21 14:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77548.25,467.6,467.6,467.6,467.6,0,7.56,-0.3725,0.000211,-9.82,89.23
2026-08-21 14:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77538.24,467.6,467.6,467.6,467.6,0,7.52,-0.374,0.000212,-9.77,89.33
2026-08-21 14:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77536.92,467.6,467.6,467.6,467.6,0,7.51,-0.3742,0.000212,-9.77,89.34
2026-08-21 14:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77549.49,467.6,467.6,467.6,467.6,0,7.56,-0.3723,0.00021,-9.83,89.2
2026-08-21 14:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77548.85,467.6,467.6,467.6,467.6,0,7.56,-0.3724,0.00021,-9.82,89.21
2026-08-21 14:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77534.16,467.6,467.6,467.6,467.6,0,7.5,-0.3746,0.000213,-9.76,89.35
2026-08-21 15:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77538.88,467.6,469.0,467.6,469.0,200,7.54,-0.3742,0.000212,-9.8,89.32
2026-08-21 15:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77527.92,469.0,469.0,469.0,469.0,0,7.49,-0.3758,0.000213,-9.76,89.42
2026-08-21 15:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77518.89,469.0,474.85,469.0,474.85,100,7.52,-0.3781,0.000213,-9.81,89.58
2026-08-21 15:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77522.47,474.85,474.95,470.0,474.95,100,7.54,-0.3776,0.000212,-9.83,89.54
2026-08-21 15:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77522.47,474.95,474.95,474.95,474.95,0,7.54,-0.3776,0.000212,-9.83,89.53
2026-08-21 15:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77540.83,474.95,474.95,469.0,469.0,20,7.55,-0.3739,0.000211,-9.82,89.27
2026-08-24 09:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77745.36,453.55,453.55,410.0,410.0,140,8.02,-0.3346,0.000199,-10.52,82.56
2026-08-24 09:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77740.26,410.0,410.0,401.9,401.9,60,7.91,-0.3334,0.000201,-10.35,82.44
2026-08-24 09:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77701.6,401.9,401.9,401.0,401.0,120,7.74,-0.3383,0.000207,-10.18,82.85
2026-08-24 09:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77649.64,401.0,408.0,401.0,408.0,20,7.61,-0.3468,0.000213,-10.1,83.57
2026-08-24 09:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77684.09,408.0,415.7,408.0,415.7,20,7.84,-0.3438,0.000206,-10.38,83.33
2026-08-24 09:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77676.77,415.7,415.7,415.7,415.7,0,7.82,-0.3447,0.000207,-10.35,83.4
2026-08-24 09:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77646.27,415.7,415.7,415.7,415.7,0,7.69,-0.3489,0.000211,-10.23,83.73
2026-08-24 09:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77628.09,415.7,419.85,415.7,419.85,20,7.66,-0.3523,0.000213,-10.23,84.0
2026-08-24 09:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77609.19,419.85,419.85,419.85,419.85,0,7.58,-0.355,0.000215,-10.15,84.2
2026-08-24 10:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77622.01,422.6,422.6,422.6,422.6,20,7.67,-0.3537,0.000213,-10.25,84.11
2026-08-24 10:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77617.26,422.6,448.85,422.6,448.85,100,7.96,-0.3594,0.000206,-10.7,84.56
2026-08-24 10:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77631.25,448.85,448.85,446.3,446.3,200,7.99,-0.357,0.000205,-10.72,84.38
2026-08-24 10:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77629.23,446.3,446.3,429.0,429.0,40,7.78,-0.354,0.00021,-10.4,84.12
2026-08-24 10:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77633.58,429.0,429.0,429.0,429.0,0,7.8,-0.3534,0.000209,-10.42,84.07
2026-08-24 10:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77629.32,429.0,431.35,429.0,431.35,20,7.81,-0.3544,0.000209,-10.45,84.15
2026-08-24 10:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77636.55,431.35,431.35,431.35,431.35,0,7.84,-0.3534,0.000208,-10.48,84.07
2026-08-24 10:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77646.61,431.35,431.35,431.35,431.35,0,7.88,-0.352,0.000207,-10.52,83.96
2026-08-24 10:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77640.59,431.35,431.35,431.35,431.35,0,7.86,-0.3528,0.000208,-10.5,84.02
2026-08-24 10:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77601.13,431.35,431.35,431.35,431.35,0,7.69,-0.3584,0.000213,-10.33,84.43
