datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-08-28 15:20:00,77194.59,1706.75,1756.0,1706.75,1756.0,40,16.67,0.5849,0.000111,-24.77,81.32
2026-08-28 15:21:00,77194.59,1756.0,1758.75,1756.0,1758.75,20,16.7,0.5848,0.00011,-24.82,81.33
2026-08-28 15:22:00,77194.59,1758.75,1758.75,1758.75,1758.75,0,15.0,0.5926,0.000122,-22.18,80.95
2026-08-28 15:23:00,77194.59,1758.75,1758.75,1758.75,1758.75,0,15.0,0.5926,0.000122,-22.18,80.95
2026-08-28 15:24:00,77194.59,1758.75,1758.75,1758.75,1758.75,0,15.0,0.5926,0.000122,-22.18,80.94
2026-08-28 15:25:00,77194.59,1758.75,1758.75,1758.75,1758.75,0,15.0,0.5926,0.000122,-22.18,80.94
2026-08-28 15:26:00,77194.59,1758.75,1758.75,1730.0,1730.0,80,16.35,0.5863,0.000113,-24.28,81.25
2026-08-28 15:27:00,77194.59,1730.0,1730.0,1730.0,1730.0,0,15.0,0.5926,0.000122,-22.18,80.94
2026-08-28 15:28:00,77264.51,1730.0,1730.0,1730.0,1730.0,0,15.0,0.6012,0.000122,-22.07,80.56
2026-08-28 15:29:00,77264.51,1738.7,1738.7,1729.45,1729.45,40,15.84,0.5967,0.000116,-23.37,80.8
2026-08-31 09:34:00,76991.36,1435.0,1435.0,1435.0,1435.0,20,14.95,0.571,0.000132,-23.61,77.47
2026-08-31 09:35:00,76961.73,1419.7,1419.7,1419.7,1419.7,20,14.97,0.567,0.000132,-23.68,77.58
2026-08-31 09:36:00,76973.08,1419.7,1419.7,1419.7,1419.7,0,15.0,0.5684,0.000131,-23.72,77.54
2026-08-31 09:37:00,76995.53,1419.7,1419.7,1419.7,1419.7,0,15.0,0.5713,0.000131,-23.69,77.46
2026-08-31 09:38:00,76966.89,1419.7,1419.7,1419.7,1419.7,0,15.0,0.5676,0.000131,-23.73,77.56
2026-08-31 09:39:00,76959.81,1419.7,1419.7,1419.7,1419.7,0,15.0,0.5667,0.000131,-23.74,77.59
2026-08-31 09:40:00,76961.43,1419.7,1419.7,1419.7,1419.7,0,15.0,0.5669,0.000131,-23.74,77.58
2026-08-31 09:41:00,76938.78,1419.7,1419.7,1400.0,1400.0,20,14.88,0.5643,0.000133,-23.57,77.64
2026-08-31 09:42:00,76910.8,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5602,0.000132,-23.8,77.75
2026-08-31 09:43:00,76893.03,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5579,0.000132,-23.81,77.8
2026-08-31 09:44:00,76876.7,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5557,0.000132,-23.83,77.84
2026-08-31 09:45:00,76889.46,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5574,0.000132,-23.82,77.81
2026-08-31 09:46:00,76909.7,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5601,0.000132,-23.8,77.74
2026-08-31 09:47:00,76914.52,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5607,0.000132,-23.79,77.73
2026-08-31 09:48:00,76884.24,1400.0,1400.0,1400.0,1400.0,0,15.0,0.5567,0.000132,-23.82,77.82
2026-08-31 09:49:00,76896.55,1400.0,1411.35,1400.0,1411.35,20,15.34,0.5573,0.000129,-24.36,77.81
2026-08-31 09:50:00,76904.5,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5594,0.000132,-23.8,77.76
2026-08-31 09:51:00,76913.95,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5606,0.000132,-23.8,77.73
2026-08-31 09:52:00,76865.6,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5542,0.000132,-23.84,77.87
2026-08-31 09:53:00,76883.88,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5567,0.000132,-23.83,77.81
2026-08-31 09:54:00,76876.62,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5557,0.000132,-23.83,77.83
2026-08-31 09:55:00,76867.15,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5544,0.000132,-23.84,77.86
2026-08-31 09:56:00,76846.4,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5517,0.000132,-23.86,77.91
2026-08-31 09:57:00,76850.88,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5523,0.000132,-23.86,77.9
2026-08-31 09:58:00,76869.8,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5548,0.000132,-23.84,77.85
2026-08-31 09:59:00,76874.11,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5554,0.000132,-23.84,77.83
2026-08-31 10:00:00,76889.7,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5574,0.000132,-23.82,77.79
2026-08-31 10:01:00,76879.37,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5561,0.000132,-23.83,77.82
2026-08-31 10:02:00,76893.04,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5579,0.000132,-23.82,77.78
2026-08-31 10:03:00,76880.26,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5562,0.000132,-23.83,77.81
2026-08-31 10:04:00,76900.98,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5589,0.000132,-23.81,77.75
2026-08-31 10:05:00,76921.5,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5616,0.000132,-23.79,77.69
2026-08-31 10:06:00,76932.93,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5631,0.000132,-23.78,77.65
2026-08-31 10:07:00,76924.15,1411.35,1411.35,1411.35,1411.35,0,15.0,0.562,0.000132,-23.79,77.67
2026-08-31 10:08:00,76919.66,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5614,0.000132,-23.79,77.69
2026-08-31 10:09:00,76883.75,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5567,0.000132,-23.83,77.8
2026-08-31 10:10:00,76844.94,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5515,0.000133,-23.87,77.9
2026-08-31 10:11:00,76831.34,1411.35,1411.35,1411.35,1411.35,0,15.0,0.5497,0.000133,-23.88,77.93
2026-08-31 10:12:00,76816.14,1411.35,1411.35,1360.0,1360.0,40,15.25,0.5471,0.000131,-24.3,77.98
2026-08-31 10:13:00,76845.45,1360.0,1360.0,1360.0,1360.0,0,15.0,0.5516,0.000133,-23.87,77.9
2026-08-31 10:14:00,76841.1,1360.0,1360.0,1360.0,1360.0,0,15.0,0.551,0.000133,-23.87,77.91
2026-08-31 10:15:00,76839.23,1360.0,1360.0,1360.0,1360.0,0,15.0,0.5508,0.000133,-23.88,77.91
2026-08-31 10:16:00,76822.02,1360.0,1360.0,1360.0,1360.0,0,15.0,0.5485,0.000133,-23.89,77.95
2026-08-31 10:17:00,76817.41,1360.0,1360.0,1360.0,1360.0,0,15.0,0.5479,0.000133,-23.9,77.96
2026-08-31 10:18:00,76827.26,1360.0,1360.0,1360.0,1360.0,0,15.0,0.5492,0.000133,-23.89,77.93
2026-08-31 10:19:00,76816.56,1360.0,1360.0,1360.0,1360.0,0,15.0,0.5478,0.000133,-23.9,77.96
2026-08-31 10:20:00,76805.98,1360.0,1360.0,1356.2,1356.2,200,15.28,0.5458,0.00013,-24.35,78.0
